game,black_agent,white_agent,black_score,white_score,winner_color,winner_agent,total_moves,ab_total_time,mcts_total_time,ab_avg_time,mcts_avg_time,ab_total_nodes,mcts_total_nodes,ab_avg_nodes,mcts_avg_nodes
1,Alpha-Beta,MCTS,19,45,WHITE,MCTS,60,48.51480722427368,46.15578246116638,1.6171602408091228,1.5385260820388793,256565,23879,8552.166666666666,795.9666666666667
2,MCTS,Alpha-Beta,26,38,WHITE,Alpha-Beta,60,42.404927253723145,38.78413200378418,1.4134975751241048,1.2928044001261394,322990,26312,10766.333333333334,877.0666666666667
3,Alpha-Beta,MCTS,41,23,BLACK,Alpha-Beta,60,35.92883491516113,36.54246258735657,1.1976278305053711,1.2180820862452189,327200,29254,10906.666666666666,975.1333333333333
4,MCTS,Alpha-Beta,22,42,WHITE,Alpha-Beta,60,38.55319428443909,39.7734649181366,1.2851064761479696,1.3257821639378866,322014,28385,10733.8,946.1666666666666
5,Alpha-Beta,MCTS,34,30,BLACK,Alpha-Beta,60,44.85007309913635,47.56412982940674,1.4950024366378785,1.5854709943135579,190840,20702,6361.333333333333,690.0666666666667
6,MCTS,Alpha-Beta,41,23,BLACK,MCTS,60,41.20871543884277,40.77716565132141,1.4717398371015276,1.274286426603794,293363,29566,10477.25,923.9375
7,Alpha-Beta,MCTS,35,29,BLACK,Alpha-Beta,60,41.86435031890869,38.06034016609192,1.3954783439636231,1.2686780055363973,371903,28702,12396.766666666666,956.7333333333333
8,MCTS,Alpha-Beta,10,54,WHITE,Alpha-Beta,60,34.79838228225708,37.83360171318054,1.0874494463205338,1.3512000611850195,310084,26455,9690.125,944.8214285714286
9,Alpha-Beta,MCTS,45,19,BLACK,Alpha-Beta,60,41.83619713783264,38.048259019851685,1.3945399045944213,1.268275300661723,310782,25539,10359.4,851.3
10,MCTS,Alpha-Beta,23,41,WHITE,Alpha-Beta,60,43.218777656555176,37.99274396896362,1.4406259218851725,1.266424798965454,420682,28828,14022.733333333334,960.9333333333333
11,Alpha-Beta,MCTS,38,26,BLACK,Alpha-Beta,60,42.65702414512634,37.73010182380676,1.4219008048375448,1.2576700607935587,379063,28772,12635.433333333332,959.0666666666667
12,MCTS,Alpha-Beta,28,36,WHITE,Alpha-Beta,60,39.197795391082764,39.88626408576965,1.3065931797027588,1.3295421361923219,259073,23758,8635.766666666666,791.9333333333333
13,Alpha-Beta,MCTS,38,26,BLACK,Alpha-Beta,60,37.24160718917847,36.791516065597534,1.2413869063059488,1.2263838688532511,332043,29003,11068.1,966.7666666666667
14,MCTS,Alpha-Beta,17,47,WHITE,Alpha-Beta,60,41.187089681625366,39.09008169174194,1.3729029893875122,1.3030027230580647,362637,28251,12087.9,941.7
15,Alpha-Beta,MCTS,35,29,BLACK,Alpha-Beta,60,39.31920599937439,37.21275496482849,1.3106401999791464,1.240425165494283,352494,28910,11749.8,963.6666666666666
16,MCTS,Alpha-Beta,33,31,BLACK,MCTS,60,43.474138259887695,38.56723999977112,1.4491379419962565,1.2855746666590373,406509,28582,13550.3,952.7333333333333
17,Alpha-Beta,MCTS,33,31,BLACK,Alpha-Beta,60,40.15233135223389,37.6301794052124,1.3384110450744628,1.2543393135070802,351153,28998,11705.1,966.6
18,MCTS,Alpha-Beta,37,27,BLACK,MCTS,60,47.70150852203369,49.55182933807373,1.5900502840677897,1.6517276446024576,231114,21467,7703.8,715.5666666666667
19,Alpha-Beta,MCTS,46,18,BLACK,Alpha-Beta,60,41.97935628890991,37.54022669792175,1.3993118762969972,1.251340889930725,238957,23136,7965.233333333334,771.2
20,MCTS,Alpha-Beta,18,46,WHITE,Alpha-Beta,60,38.44449257850647,38.70905160903931,1.2814830859502158,1.2903017203013103,331835,28420,11061.166666666666,947.3333333333334
