game,black_agent,white_agent,black_score,white_score,winner_agent,ai_moves,total_nodes,total_ai_time,avg_time
1,Alpha-Beta,MCTS,28,36,MCTS,60,633950,69.3186,1.1553
2,MCTS,Alpha-Beta,29,35,Alpha-Beta,60,476207,62.6946,1.0449
3,Alpha-Beta,MCTS,32,32,Empate,60,569320,65.0057,1.0834
4,MCTS,Alpha-Beta,34,30,MCTS,60,559966,67.8625,1.131
5,Alpha-Beta,MCTS,39,25,Alpha-Beta,60,588429,64.9301,1.0822
6,MCTS,Alpha-Beta,25,39,Alpha-Beta,60,633652,70.8124,1.1802
7,Alpha-Beta,MCTS,18,46,MCTS,60,611563,68.6816,1.1447
8,MCTS,Alpha-Beta,29,35,Alpha-Beta,60,557649,67.7408,1.129
9,Alpha-Beta,MCTS,32,32,Empate,60,659416,71.8088,1.1968
10,MCTS,Alpha-Beta,30,34,Alpha-Beta,60,473287,61.5281,1.0255
11,Alpha-Beta,MCTS,47,17,Alpha-Beta,60,484365,64.3641,1.0727
12,MCTS,Alpha-Beta,44,20,MCTS,60,592343,70.6794,1.178
13,Alpha-Beta,MCTS,30,34,MCTS,60,563401,65.3127,1.0885
14,MCTS,Alpha-Beta,38,26,MCTS,60,554979,67.9648,1.1327
15,Alpha-Beta,MCTS,28,36,MCTS,60,564314,67.1995,1.12
16,MCTS,Alpha-Beta,6,58,Alpha-Beta,60,494225,67.0939,1.1182
17,Alpha-Beta,MCTS,21,43,MCTS,60,586860,71.6528,1.1942
18,MCTS,Alpha-Beta,26,38,Alpha-Beta,60,531523,68.3029,1.1384
19,Alpha-Beta,MCTS,49,15,Alpha-Beta,60,476554,65.9724,1.0995
20,MCTS,Alpha-Beta,24,40,Alpha-Beta,60,453335,64.5372,1.0756
